,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT
218,1630215,Jared Butler,1610612760,OKC,22.0,6-3,75,193,Baylor,USA,2021,2,40,2,2.5,0.5,2.0,-12.7,0.0,0.04,0.14,0.625,0.286
219,1631197,Jared Rhoden,1610612765,DET,23.0,6-6,78,210,Seton Hall,USA,Undrafted,Undrafted,Undrafted,4,2.0,2.0,0.0,8.5,0.152,0.13,0.113,0.444,0.0
220,1628991,Jaren Jackson Jr.,1610612763,MEM,23.0,6-10,82,242,Michigan State,USA,2018,1,4,48,17.1,6.6,0.9,11.9,0.055,0.158,0.228,0.601,0.044
221,1629020,Jarred Vanderbilt,1610612747,LAL,23.0,6-8,80,214,Kentucky,USA,2018,2,41,63,8.3,7.9,2.6,-1.3,0.094,0.227,0.142,0.611,0.148
222,1628386,Jarrett Allen,1610612739,CLE,24.0,6-9,81,243,Texas,USA,2017,1,22,62,14.4,9.8,1.7,7.3,0.102,0.213,0.162,0.673,0.073
223,1629633,Jarrett Culver,1610612737,ATL,24.0,6-6,78,195,Texas Tech,USA,2019,1,6,10,4.4,3.8,0.6,-5.7,0.065,0.219,0.164,0.452,0.055
224,1630554,Jason Preston,1610612746,LAC,23.0,6-3,75,181,Ohio,USA,2021,2,33,13,3.2,1.7,2.1,-0.9,0.014,0.179,0.168,0.489,0.314
225,1629750,Javonte Green,1610612741,CHI,29.0,6-5,77,205,Radford,USA,Undrafted,Undrafted,Undrafted,28,5.9,2.9,0.8,6.9,0.057,0.119,0.132,0.667,0.066
226,1629637,Jaxson Hayes,1610612740,NOP,22.0,7-0,84,220,Texas,USA,2019,1,8,39,5.5,2.9,0.8,-5.0,0.056,0.149,0.149,0.629,0.088
227,1627759,Jaylen Brown,1610612738,BOS,26.0,6-6,78,223,California,USA,2016,1,3,55,26.4,7.0,3.3,4.7,0.034,0.154,0.305,0.58,0.156
228,1629669,Jaylen Nowell,1610612750,MIN,23.0,6-4,76,201,Washington,USA,2019,2,43,62,10.9,2.6,2.0,0.5,0.028,0.107,0.237,0.527,0.154
229,1631119,Jaylin Williams,1610612760,OKC,20.0,6-9,81,240,Arkansas,USA,2022,2,34,34,5.6,4.8,1.5,-3.4,0.047,0.238,0.137,0.547,0.11
230,1628369,Jayson Tatum,1610612738,BOS,25.0,6-8,80,210,Duke,USA,2017,1,3,62,30.3,8.8,4.7,8.1,0.031,0.197,0.32,0.604,0.209
231,1630288,Jeff Dowtin Jr.,1610612761,TOR,25.0,6-3,75,177,Rhode Island,USA,Undrafted,Undrafted,Undrafted,18,2.4,0.9,0.9,-2.0,0.034,0.065,0.126,0.492,0.144
232,201145,Jeff Green,1610612743,DEN,36.0,6-8,80,235,Georgetown,USA,2007,1,5,43,7.8,2.6,1.1,-9.2,0.035,0.098,0.17,0.57,0.087
233,203924,Jerami Grant,1610612757,POR,28.0,6-8,80,210,Syracuse,USA,2014,2,39,62,20.7,4.5,2.4,-0.6,0.025,0.104,0.227,0.608,0.101
234,1630526,Jeremiah Robinson-Earl,1610612760,OKC,22.0,6-8,80,240,Villanova,USA,2021,2,32,34,7.4,4.5,1.0,-2.6,0.087,0.129,0.144,0.558,0.065
235,1631110,Jeremy Sochan,1610612759,SAS,19.0,6-8,80,230,Baylor,Poland,2022,1,9,53,10.7,5.2,2.6,-7.3,0.061,0.135,0.191,0.503,0.131
