,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK
411,1630173,Precious Achiuwa,Precious,1610612761,TOR,23.0,43,23,20,0.535,22.3,1.3,1.8,1.1,6.1,7.4,5.6,7.0,23.4,0.6,0.6,2.0,1.8,20.9,281,233,226,197,207,221,94,196,115,278,270,328,209,90,427,351,153,184
412,1629656,Quentin Grimes,Quentin,1610612752,NYK,22.0,57,33,24,0.579,29.4,1.6,1.4,1.7,3.1,8.6,8.1,7.2,27.5,0.4,0.3,2.5,1.1,18.7,126,68,306,142,114,165,148,110,249,336,398,337,151,176,229,432,275,206
413,1631245,Quenton Jackson,Quenton,1610612764,WAS,24.0,3,2,1,0.667,2.6,0.0,0.0,0.0,0.7,0.7,0.0,0.7,2.7,0.0,0.0,0.3,0.0,2.6,494,469,9,55,506,480,476,466,459,19,1,22,498,463,1,28,490,494
414,1630181,R.J. Hampton,R.J.,1610612765,DET,22.0,33,7,26,0.212,14.2,0.8,0.8,0.9,2.1,5.8,4.2,4.3,15.9,0.2,0.2,0.8,1.3,11.3,343,427,338,483,341,318,266,244,329,213,178,199,310,364,209,82,236,341
415,1629628,RJ Barrett,RJ,1610612752,NYK,22.0,61,34,27,0.557,34.2,3.0,2.0,2.8,9.9,10.9,10.3,9.9,32.7,0.2,1.3,2.5,3.6,29.9,75,54,367,166,38,51,77,38,32,434,497,474,81,351,508,439,55,92
416,203526,Raul Neto,Raul,1610612739,CLE,30.0,42,28,14,0.667,10.2,0.8,0.2,0.2,1.5,3.8,3.0,1.8,10.2,0.1,0.1,0.9,0.9,7.3,289,146,142,55,406,342,455,432,390,105,114,61,408,441,78,86,307,419
417,203493,Reggie Bullock,Reggie,1610612742,DAL,31.0,64,33,31,0.516,30.3,1.0,0.6,0.8,0.9,9.0,8.4,8.9,33.3,0.2,0.1,2.3,0.4,15.7,32,68,425,227,95,273,358,266,440,351,420,424,70,309,112,400,427,252
418,202704,Reggie Jackson,Reggie,1610612743,DEN,32.0,59,33,26,0.559,25.2,1.1,0.8,1.2,4.0,9.5,6.8,7.6,26.1,0.1,0.3,1.7,1.2,19.0,101,68,338,165,171,267,267,176,195,371,325,363,173,414,237,274,249,204
419,1626158,Richaun Holmes,Richaun,1610612758,SAC,29.0,35,18,17,0.514,8.7,0.3,0.7,0.2,2.5,4.3,2.7,1.8,9.7,0.3,0.1,1.3,0.5,6.6,328,286,179,231,433,440,301,426,291,131,99,57,421,231,113,172,416,429
420,201937,Ricky Rubio,Ricky,1610612739,CLE,32.0,20,14,6,0.7,16.2,0.8,0.1,0.6,0.7,5.2,4.2,3.9,15.8,0.2,0.3,1.4,1.1,15.5,417,344,69,39,300,347,473,316,456,176,173,174,312,311,259,185,272,257
421,203496,Robert Covington,Robert,1610612746,LAC,32.0,38,15,23,0.395,16.4,0.8,0.6,0.3,1.9,5.9,5.7,3.9,15.6,0.8,0.2,1.9,0.7,15.7,311,325,284,402,297,333,367,401,348,218,274,180,319,61,131,310,347,249
422,1629057,Robert Williams III,Robert,1610612738,BOS,25.0,28,18,10,0.643,24.2,1.2,3.2,0.9,7.6,7.5,5.3,6.3,21.9,1.2,0.4,1.9,1.3,25.2,379,286,102,81,185,233,14,249,73,280,249,305,224,22,318,308,245,124
423,201577,Robin Lopez,Robin,1610612739,CLE,34.0,32,23,9,0.719,7.7,0.3,0.5,0.0,2.1,3.2,2.0,2.6,8.0,0.1,0.1,1.0,0.7,4.8,352,233,97,30,445,447,369,466,328,80,69,100,439,390,96,117,353,458
424,203585,Rodney McGruder,Rodney,1610612765,DET,31.0,26,3,23,0.115,12.8,0.7,0.6,0.7,0.8,4.8,3.0,3.1,14.7,0.0,0.2,0.8,0.7,7.2,392,459,284,505,368,359,357,281,445,151,120,122,339,463,125,76,349,421
425,1629641,Romeo Langford,Romeo,1610612759,SAS,23.0,33,10,23,0.303,20.0,1.1,1.3,0.6,4.6,7.1,5.5,6.8,23.8,0.3,0.3,1.7,1.5,14.5,343,392,284,439,242,252,171,308,170,269,261,324,201,216,278,265,187,272
426,1631199,Ron Harper Jr.,Ron,1610612761,TOR,22.0,4,2,2,0.5,3.5,0.5,0.5,0.0,1.0,0.0,1.3,0.0,1.5,0.0,0.3,0.0,0.0,3.1,484,469,26,247,490,404,380,466,419,1,36,1,508,463,215,1,490,486
427,1626220,Royce O'Neale,Royce,1610612751,BKN,29.0,62,34,28,0.548,32.5,1.1,0.7,1.3,1.8,11.4,9.6,8.7,33.0,0.7,0.4,3.1,1.2,23.4,55,54,381,175,72,269,310,161,358,459,477,414,74,77,332,491,258,151
428,200752,Rudy Gay,Rudy,1610612762,UTA,36.0,51,26,25,0.51,14.5,0.8,0.7,0.3,1.8,4.7,4.4,5.2,15.5,0.3,0.0,1.3,0.6,11.6,202,188,320,237,329,324,311,403,355,148,191,243,322,216,51,166,371,334
429,203497,Rudy Gobert,Rudy,1610612750,MIN,30.0,55,26,29,0.473,30.3,1.9,3.1,0.7,10.3,11.8,8.4,9.2,30.5,1.4,0.5,3.0,4.4,33.3,152,188,398,318,96,124,16,278,29,479,417,443,115,13,392,484,30,64
