"","isActive","isRookie","namePlayer","idPlayer","countSeasons","yearSeasonFirst","yearSeasonLast","idTeam","hasGamesPlayedFlag","urlPlayerStats","urlPlayerThumbnail","urlPlayerHeadshot","urlPlayerActionPhoto","hasHeadShot","hasThumbnail","hasAction","urlPlayerPhoto"
"1463",FALSE,FALSE,"Frank Gates",76794,0,1949,1949,NA,FALSE,"https://stats.nba.com/player/76794","https://stats.nba.com/media/players/230x185/76794.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76794.png","https://stats.nba.com/media/players/700/76794.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/76794.png"
"1464",FALSE,FALSE,"Chris Gatling",423,10,1991,2001,NA,FALSE,"https://stats.nba.com/player/423","https://stats.nba.com/media/players/230x185/423.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/423.png","https://stats.nba.com/media/players/700/423.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/423.png"
"1465",FALSE,FALSE,"Kenny Gattison",930,9,1986,1995,NA,FALSE,"https://stats.nba.com/player/930","https://stats.nba.com/media/players/230x185/930.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/930.png","https://stats.nba.com/media/players/700/930.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/930.png"
"1466",TRUE,FALSE,"Rudy Gay",200752,16,2006,2022,NA,FALSE,"https://stats.nba.com/player/200752","https://stats.nba.com/media/players/230x185/200752.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200752.png","https://stats.nba.com/media/players/700/200752.png",TRUE,TRUE,TRUE,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/200752.png"
"1467",FALSE,FALSE,"Ed Gayda",76797,0,1950,1950,NA,FALSE,"https://stats.nba.com/player/76797","https://stats.nba.com/media/players/230x185/76797.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/76797.png","https://stats.nba.com/media/players/700/76797.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/76797.png"
"1468",FALSE,FALSE,"Andrew Gaze",1845,5,1993,1998,NA,FALSE,"https://stats.nba.com/player/1845","https://stats.nba.com/media/players/230x185/1845.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1845.png","https://stats.nba.com/media/players/700/1845.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/1845.png"
"1469",FALSE,FALSE,"Michael Gbinije",1627771,0,2016,2016,NA,FALSE,"https://stats.nba.com/player/1627771","https://stats.nba.com/media/players/230x185/1627771.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627771.png","https://stats.nba.com/media/players/700/1627771.png",TRUE,TRUE,TRUE,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627771.png"
"1470",FALSE,FALSE,"Reggie Geary",1002,1,1996,1997,NA,FALSE,"https://stats.nba.com/player/1002","https://stats.nba.com/media/players/230x185/1002.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1002.png","https://stats.nba.com/media/players/700/1002.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/1002.png"
"1471",FALSE,FALSE,"Alonzo Gee",202087,7,2009,2016,NA,FALSE,"https://stats.nba.com/player/202087","https://stats.nba.com/media/players/230x185/202087.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202087.png","https://stats.nba.com/media/players/700/202087.png",TRUE,TRUE,TRUE,"https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202087.png"
"1472",FALSE,FALSE,"Matt Geiger",761,9,1992,2001,NA,FALSE,"https://stats.nba.com/player/761","https://stats.nba.com/media/players/230x185/761.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/761.png","https://stats.nba.com/media/players/700/761.png",FALSE,TRUE,TRUE,"https://stats.nba.com/media/players/230x185/761.png"
